"Bus Table (SPI (with CS): 8 Bit, MSB, Clk = D0, MOSI = D1, MISO = D2, CS = D3)"
"gg"
Frame,Mark,Start Time in s,Source,Length,Data,State
265,,-4.9450112e-3,MISO,2,0x0004,OK
266,,-4.9255104e-3,MOSI,2,0x8800,OK
267,,-4.9255104e-3,MISO,2,0x0004,OK
268,,-4.9060160e-3,MOSI,2,0x8800,OK
269,,-4.9060160e-3,MISO,2,0x0004,OK
270,,-4.8865152e-3,MOSI,2,0x8800,OK
271,,-4.8865152e-3,MISO,2,0x0004,OK
272,,-4.8670144e-3,MOSI,2,0x8800,OK
273,,-4.8670144e-3,MISO,2,0x0004,OK
274,,-4.8475136e-3,MOSI,2,0x8800,OK
275,,-4.8475136e-3,MISO,2,0x0004,OK
276,,-4.8280128e-3,MOSI,2,0x8800,OK
277,,-4.8280128e-3,MISO,2,0x0004,OK
278,,-4.8085120e-3,MOSI,2,0x8800,OK
279,,-4.8085120e-3,MISO,2,0x0004,OK
280,,-4.7890112e-3,MOSI,2,0x8800,OK
281,,-4.7890112e-3,MISO,2,0x0004,OK
282,,-4.7695104e-3,MOSI,2,0x8800,OK
283,,-4.7695104e-3,MISO,2,0x0004,OK
284,,-4.7500160e-3,MOSI,2,0x8800,OK
285,,-4.7500160e-3,MISO,2,0x0004,OK
286,,-4.7305152e-3,MOSI,2,0x8800,OK
287,,-4.7305152e-3,MISO,2,0x0004,OK
288,,-4.7110144e-3,MOSI,2,0x8800,OK
289,,-4.7110144e-3,MISO,2,0x0004,OK
290,,-4.6915136e-3,MOSI,2,0x8800,OK
291,,-4.6915136e-3,MISO,2,0x0004,OK
292,,-4.6715136e-3,MOSI,2,0x2400,OK
293,,-4.6715136e-3,MISO,2,0x0012,OK
294,,-4.6520128e-3,MOSI,2,0x2600,OK
295,,-4.6520128e-3,MISO,2,0x0012,OK
296,,-4.6325120e-3,MOSI,2,0x4826,OK
297,,-4.6325120e-3,MISO,2,0x0064,OK
298,,-4.6130112e-3,MOSI,2,0x0200,OK
299,,-4.6130112e-3,MISO,2,0x2600,OK
300,,-4.5935104e-3,MOSI,2,0x087F,OK
301,,-4.5935104e-3,MISO,2,0x0004,OK
302,,-4.5740160e-3,MOSI,2,0x1480,OK
303,,-4.5740160e-3,MISO,2,0x7F0A,OK
304,,-4.5545152e-3,MOSI,2,0x1226,OK
305,,-4.5545152e-3,MISO,2,0x8008,OK
306,,-4.5350144e-3,MOSI,2,0x1A07,OK
307,,-4.5350144e-3,MISO,2,0x260C,OK
308,,-4.5155136e-3,MOSI,2,0x020C,OK
309,,-4.5155136e-3,MISO,2,0x0700,OK
310,,-4.4960128e-3,MOSI,2,0x9A00,OK
311,,-4.4960128e-3,MISO,2,0x0C07,OK
312,,-4.4765120e-3,MOSI,2,0x1A87,OK
313,,-4.4765120e-3,MISO,2,0x000C,OK
314,,-4.4570112e-3,MOSI,2,0x8800,OK
315,,-4.4570112e-3,MISO,2,0x8704,OK
316,,-4.4375104e-3,MOSI,2,0x8800,OK
317,,-4.4375104e-3,MISO,2,0x0004,OK
318,,-4.4180160e-3,MOSI,2,0x8800,OK
319,,-4.4180160e-3,MISO,2,0x0004,OK
320,,-4.3985152e-3,MOSI,2,0x8800,OK
321,,-4.3985152e-3,MISO,2,0x0004,OK
322,,-4.3790144e-3,MOSI,2,0x8800,OK
323,,-4.3790144e-3,MISO,2,0x0004,OK
324,,-4.3595136e-3,MOSI,2,0x8800,OK
325,,-4.3595136e-3,MISO,2,0x0004,OK
326,,-4.3400128e-3,MOSI,2,0x8800,OK
327,,-4.3400128e-3,MISO,2,0x0004,OK
328,,-4.3205120e-3,MOSI,2,0x8800,OK
329,,-4.3205120e-3,MISO,2,0x0004,OK
330,,-4.3010112e-3,MOSI,2,0x8800,OK
331,,-4.3010112e-3,MISO,2,0x0004,OK
332,,-4.2815104e-3,MOSI,2,0x8800,OK
333,,-4.2815104e-3,MISO,2,0x0004,OK
334,,-4.2620096e-3,MOSI,2,0x8800,OK
335,,-4.2620096e-3,MISO,2,0x0004,OK
336,,-4.2425152e-3,MOSI,2,0x8800,OK
337,,-4.2425152e-3,MISO,2,0x0004,OK
338,,-4.0595136e-3,MOSI,2,0x8800,OK
339,,-4.0595136e-3,MISO,2,0x0004,OK
340,,-4.0400128e-3,MOSI,2,0x8800,OK
341,,-4.0400128e-3,MISO,2,0x0004,OK
342,,-4.0205120e-3,MOSI,2,0x8800,OK
343,,-4.0205120e-3,MISO,2,0x0004,OK
344,,-4.0010112e-3,MOSI,2,0x8800,OK
345,,-4.0010112e-3,MISO,2,0x0004,OK
346,,-3.9815104e-3,MOSI,2,0x8800,OK
347,,-3.9815104e-3,MISO,2,0x0004,OK
348,,-3.9620096e-3,MOSI,2,0x8800,OK
349,,-3.9620096e-3,MISO,2,0x0004,OK
350,,-3.9425152e-3,MOSI,2,0x8800,OK
351,,-3.9425152e-3,MISO,2,0x0004,OK
352,,-3.9230144e-3,MOSI,2,0x8800,OK
353,,-3.9230144e-3,MISO,2,0x0004,OK
354,,-3.9035136e-3,MOSI,2,0x8800,OK
355,,-3.9035136e-3,MISO,2,0x0004,OK
356,,-3.8840128e-3,MOSI,2,0x8800,OK
357,,-3.8840128e-3,MISO,2,0x0004,OK
358,,-3.8645120e-3,MOSI,2,0x8800,OK
359,,-3.8645120e-3,MISO,2,0x0004,OK
360,,-3.8450112e-3,MOSI,2,0x8800,OK
361,,-3.8450112e-3,MISO,2,0x0004,OK
362,,-3.8255104e-3,MOSI,2,0x8800,OK
363,,-3.8255104e-3,MISO,2,0x0004,OK
364,,-3.8060096e-3,MOSI,2,0x8800,OK
365,,-3.8060096e-3,MISO,2,0x0004,OK
366,,-3.7865152e-3,MOSI,2,0x8800,OK
367,,-3.7865152e-3,MISO,2,0x0004,OK
368,,-3.7670144e-3,MOSI,2,0x8800,OK
369,,-3.7670144e-3,MISO,2,0x0004,OK
370,,-3.7475136e-3,MOSI,2,0x8800,OK
371,,-3.7475136e-3,MISO,2,0x0004,OK
372,,-3.7280128e-3,MOSI,2,0x8800,OK
373,,-3.7280128e-3,MISO,2,0x0004,OK
374,,-3.7085120e-3,MOSI,2,0x8800,OK
375,,-3.7085120e-3,MISO,2,0x0004,OK
376,,-3.6890112e-3,MOSI,2,0x8800,OK
377,,-3.6890112e-3,MISO,2,0x0004,OK
378,,-3.6695104e-3,MOSI,2,0x8800,OK
379,,-3.6695104e-3,MISO,2,0x0004,OK
380,,-3.6500096e-3,MOSI,2,0x8800,OK
381,,-3.6500096e-3,MISO,2,0x0004,OK
382,,-3.6305152e-3,MOSI,2,0x8800,OK
383,,-3.6305152e-3,MISO,2,0x0004,OK
384,,-3.6110144e-3,MOSI,2,0x8800,OK
385,,-3.6110144e-3,MISO,2,0x0004,OK
386,,-3.5915136e-3,MOSI,2,0x8800,OK
387,,-3.5915136e-3,MISO,2,0x0004,OK
388,,-3.5720128e-3,MOSI,2,0x8800,OK
389,,-3.5720128e-3,MISO,2,0x0004,OK
390,,-3.5525120e-3,MOSI,2,0x8800,OK
391,,-3.5525120e-3,MISO,2,0x0004,OK
392,,-3.5330112e-3,MOSI,2,0x8800,OK
393,,-3.5330112e-3,MISO,2,0x0004,OK
394,,-3.5135104e-3,MOSI,2,0x8800,OK
395,,-3.5135104e-3,MISO,2,0x0004,OK
396,,-3.4940096e-3,MOSI,2,0x8800,OK
397,,-3.4940096e-3,MISO,2,0x0004,OK
398,,-3.4745088e-3,MOSI,2,0x8800,OK
399,,-3.4745088e-3,MISO,2,0x0004,OK
400,,-3.4550144e-3,MOSI,2,0x8800,OK
401,,-3.4550144e-3,MISO,2,0x0004,OK
402,,-3.4355136e-3,MOSI,2,0x8800,OK
403,,-3.4355136e-3,MISO,2,0x0004,OK
404,,-3.4160128e-3,MOSI,2,0x8800,OK
405,,-3.4160128e-3,MISO,2,0x0004,OK
406,,-3.3965120e-3,MOSI,2,0x8800,OK
407,,-3.3965120e-3,MISO,2,0x0004,OK
408,,-3.3770112e-3,MOSI,2,0x8800,OK
409,,-3.3770112e-3,MISO,2,0x0004,OK
410,,-3.3575104e-3,MOSI,2,0x8800,OK
411,,-3.3575104e-3,MISO,2,0x0004,OK
412,,-3.3380096e-3,MOSI,2,0x8800,OK
413,,-3.3380096e-3,MISO,2,0x0004,OK
414,,-3.3185088e-3,MOSI,2,0x8800,OK
415,,-3.3185088e-3,MISO,2,0x0004,OK
416,,-3.2990144e-3,MOSI,2,0x8800,OK
417,,-3.2990144e-3,MISO,2,0x0004,OK
418,,-3.2795136e-3,MOSI,2,0x8800,OK
419,,-3.2795136e-3,MISO,2,0x0004,OK
420,,-3.2600128e-3,MOSI,2,0x8800,OK
421,,-3.2600128e-3,MISO,2,0x0004,OK
422,,-3.2405120e-3,MOSI,2,0x8800,OK
423,,-3.2405120e-3,MISO,2,0x0004,OK
424,,-3.2210112e-3,MOSI,2,0x8800,OK
425,,-3.2210112e-3,MISO,2,0x0004,OK
426,,-3.2015104e-3,MOSI,2,0x8800,OK
427,,-3.2015104e-3,MISO,2,0x0004,OK
428,,-3.1820096e-3,MOSI,2,0x8800,OK
429,,-3.1820096e-3,MISO,2,0x0004,OK
430,,-3.1625088e-3,MOSI,2,0x8800,OK
431,,-3.1625088e-3,MISO,2,0x0004,OK
432,,-3.1430144e-3,MOSI,2,0x8800,OK
433,,-3.1430144e-3,MISO,2,0x0004,OK
434,,-3.1235136e-3,MOSI,2,0x8800,OK
435,,-3.1235136e-3,MISO,2,0x0004,OK
436,,-3.1040128e-3,MOSI,2,0x8800,OK
437,,-3.1040128e-3,MISO,2,0x0004,OK
438,,-3.0845120e-3,MOSI,2,0x8800,OK
439,,-3.0845120e-3,MISO,2,0x0004,OK
440,,-3.0650112e-3,MOSI,2,0x8800,OK
441,,-3.0650112e-3,MISO,2,0x0004,OK
442,,-2.8820096e-3,MOSI,2,0x8800,OK
443,,-2.8820096e-3,MISO,2,0x0004,OK
444,,-2.8625088e-3,MOSI,2,0x8800,OK
445,,-2.8625088e-3,MISO,2,0x0004,OK
446,,-2.8430080e-3,MOSI,2,0x8800,OK
447,,-2.8430080e-3,MISO,2,0x0004,OK
448,,-2.8235136e-3,MOSI,2,0x8800,OK
449,,-2.8235136e-3,MISO,2,0x0004,OK
450,,-2.8040128e-3,MOSI,2,0x8800,OK
451,,-2.8040128e-3,MISO,2,0x0004,OK
452,,-2.7845120e-3,MOSI,2,0x8800,OK
453,,-2.7845120e-3,MISO,2,0x0004,OK
454,,-2.7650112e-3,MOSI,2,0x8800,OK
455,,-2.7650112e-3,MISO,2,0x0004,OK
456,,-2.7455104e-3,MOSI,2,0x8800,OK
457,,-2.7455104e-3,MISO,2,0x0004,OK
458,,-2.7260096e-3,MOSI,2,0x8800,OK
459,,-2.7260096e-3,MISO,2,0x0004,OK
460,,-2.7065088e-3,MOSI,2,0x8800,OK
461,,-2.7065088e-3,MISO,2,0x0004,OK
462,,-2.6870080e-3,MOSI,2,0x8800,OK
463,,-2.6870080e-3,MISO,2,0x0004,OK
464,,-2.6675136e-3,MOSI,2,0x8800,OK
465,,-2.6675136e-3,MISO,2,0x0004,OK
466,,-2.6480128e-3,MOSI,2,0x8800,OK
467,,-2.6480128e-3,MISO,2,0x0004,OK
468,,-2.6285120e-3,MOSI,2,0x8800,OK
469,,-2.6285120e-3,MISO,2,0x0004,OK
470,,-2.6090112e-3,MOSI,2,0x8800,OK
471,,-2.6090112e-3,MISO,2,0x0004,OK
472,,-2.5895104e-3,MOSI,2,0x8800,OK
473,,-2.5895104e-3,MISO,2,0x0004,OK
474,,-2.5700096e-3,MOSI,2,0x8800,OK
475,,-2.5700096e-3,MISO,2,0x0004,OK
476,,-2.5505088e-3,MOSI,2,0x8800,OK
477,,-2.5505088e-3,MISO,2,0x0004,OK
478,,-2.5310080e-3,MOSI,2,0x8800,OK
479,,-2.5310080e-3,MISO,2,0x0004,OK
480,,-2.5115136e-3,MOSI,2,0x8800,OK
481,,-2.5115136e-3,MISO,2,0x0004,OK
482,,-2.4920128e-3,MOSI,2,0x8800,OK
483,,-2.4920128e-3,MISO,2,0x0004,OK
484,,-2.4725120e-3,MOSI,2,0x8800,OK
485,,-2.4725120e-3,MISO,2,0x0004,OK
486,,-2.4530112e-3,MOSI,2,0x8800,OK
487,,-2.4530112e-3,MISO,2,0x0004,OK
488,,-2.4335104e-3,MOSI,2,0x8800,OK
489,,-2.4335104e-3,MISO,2,0x0004,OK
